kalimat,label
Film ini sangat bagus dan menarik ke-1,positif
Film ini sangat bagus dan menarik ke-2,positif
Film ini sangat bagus dan menarik ke-3,positif
Film ini sangat bagus dan menarik ke-4,positif
Film ini sangat bagus dan menarik ke-5,positif
Film ini sangat bagus dan menarik ke-6,positif
Film ini sangat bagus dan menarik ke-7,positif
Film ini sangat bagus dan menarik ke-8,positif
Film ini sangat bagus dan menarik ke-9,positif
Film ini sangat bagus dan menarik ke-10,positif
Film ini sangat bagus dan menarik ke-11,positif
Film ini sangat bagus dan menarik ke-12,positif
Film ini sangat bagus dan menarik ke-13,positif
Film ini sangat bagus dan menarik ke-14,positif
Film ini sangat bagus dan menarik ke-15,positif
Film ini sangat bagus dan menarik ke-16,positif
Film ini sangat bagus dan menarik ke-17,positif
Film ini sangat bagus dan menarik ke-18,positif
Film ini sangat bagus dan menarik ke-19,positif
Film ini sangat bagus dan menarik ke-20,positif
Film ini sangat bagus dan menarik ke-21,positif
Film ini sangat bagus dan menarik ke-22,positif
Film ini sangat bagus dan menarik ke-23,positif
Film ini sangat bagus dan menarik ke-24,positif
Film ini sangat bagus dan menarik ke-25,positif
Film ini sangat bagus dan menarik ke-26,positif
Film ini sangat bagus dan menarik ke-27,positif
Film ini sangat bagus dan menarik ke-28,positif
Film ini sangat bagus dan menarik ke-29,positif
Film ini sangat bagus dan menarik ke-30,positif
Film ini sangat bagus dan menarik ke-31,positif
Film ini sangat bagus dan menarik ke-32,positif
Film ini sangat bagus dan menarik ke-33,positif
Film ini sangat bagus dan menarik ke-34,positif
Film ini sangat bagus dan menarik ke-35,positif
Film ini sangat bagus dan menarik ke-36,positif
Film ini sangat bagus dan menarik ke-37,positif
Film ini sangat bagus dan menarik ke-38,positif
Film ini sangat bagus dan menarik ke-39,positif
Film ini sangat bagus dan menarik ke-40,positif
Film ini sangat bagus dan menarik ke-41,positif
Film ini sangat bagus dan menarik ke-42,positif
Film ini sangat bagus dan menarik ke-43,positif
Film ini sangat bagus dan menarik ke-44,positif
Film ini sangat bagus dan menarik ke-45,positif
Film ini sangat bagus dan menarik ke-46,positif
Film ini sangat bagus dan menarik ke-47,positif
Film ini sangat bagus dan menarik ke-48,positif
Film ini sangat bagus dan menarik ke-49,positif
Film ini sangat bagus dan menarik ke-50,positif
Film ini sangat bagus dan menarik ke-51,positif
Film ini sangat bagus dan menarik ke-52,positif
Film ini sangat bagus dan menarik ke-53,positif
Film ini sangat bagus dan menarik ke-54,positif
Film ini sangat bagus dan menarik ke-55,positif
Film ini sangat bagus dan menarik ke-56,positif
Film ini sangat bagus dan menarik ke-57,positif
Film ini sangat bagus dan menarik ke-58,positif
Film ini sangat bagus dan menarik ke-59,positif
Film ini sangat bagus dan menarik ke-60,positif
Film ini sangat bagus dan menarik ke-61,positif
Film ini sangat bagus dan menarik ke-62,positif
Film ini sangat bagus dan menarik ke-63,positif
Film ini sangat bagus dan menarik ke-64,positif
Film ini sangat bagus dan menarik ke-65,positif
Film ini sangat bagus dan menarik ke-66,positif
Film ini sangat bagus dan menarik ke-67,positif
Film ini sangat bagus dan menarik ke-68,positif
Film ini sangat bagus dan menarik ke-69,positif
Film ini sangat bagus dan menarik ke-70,positif
Film ini sangat bagus dan menarik ke-71,positif
Film ini sangat bagus dan menarik ke-72,positif
Film ini sangat bagus dan menarik ke-73,positif
Film ini sangat bagus dan menarik ke-74,positif
Film ini sangat bagus dan menarik ke-75,positif
Film ini sangat bagus dan menarik ke-76,positif
Film ini sangat bagus dan menarik ke-77,positif
Film ini sangat bagus dan menarik ke-78,positif
Film ini sangat bagus dan menarik ke-79,positif
Film ini sangat bagus dan menarik ke-80,positif
Film ini sangat bagus dan menarik ke-81,positif
Film ini sangat bagus dan menarik ke-82,positif
Film ini sangat bagus dan menarik ke-83,positif
Film ini sangat bagus dan menarik ke-84,positif
Film ini sangat bagus dan menarik ke-85,positif
Film ini sangat bagus dan menarik ke-86,positif
Film ini sangat bagus dan menarik ke-87,positif
Film ini sangat bagus dan menarik ke-88,positif
Film ini sangat bagus dan menarik ke-89,positif
Film ini sangat bagus dan menarik ke-90,positif
Film ini sangat bagus dan menarik ke-91,positif
Film ini sangat bagus dan menarik ke-92,positif
Film ini sangat bagus dan menarik ke-93,positif
Film ini sangat bagus dan menarik ke-94,positif
Film ini sangat bagus dan menarik ke-95,positif
Film ini sangat bagus dan menarik ke-96,positif
Film ini sangat bagus dan menarik ke-97,positif
Film ini sangat bagus dan menarik ke-98,positif
Film ini sangat bagus dan menarik ke-99,positif
Film ini sangat bagus dan menarik ke-100,positif
Film ini sangat bagus dan menarik ke-101,negatif
Film ini sangat bagus dan menarik ke-102,negatif
Film ini sangat bagus dan menarik ke-103,negatif
Film ini sangat bagus dan menarik ke-104,negatif
Film ini sangat bagus dan menarik ke-105,negatif
Film ini sangat bagus dan menarik ke-106,negatif
Film ini sangat bagus dan menarik ke-107,negatif
Film ini sangat bagus dan menarik ke-108,negatif
Film ini sangat bagus dan menarik ke-109,negatif
Film ini sangat bagus dan menarik ke-110,negatif
Film ini sangat bagus dan menarik ke-111,negatif
Film ini sangat bagus dan menarik ke-112,negatif
Film ini sangat bagus dan menarik ke-113,negatif
Film ini sangat bagus dan menarik ke-114,negatif
Film ini sangat bagus dan menarik ke-115,negatif
Film ini sangat bagus dan menarik ke-116,negatif
Film ini sangat bagus dan menarik ke-117,negatif
Film ini sangat bagus dan menarik ke-118,negatif
Film ini sangat bagus dan menarik ke-119,negatif
Film ini sangat bagus dan menarik ke-120,negatif
Film ini sangat bagus dan menarik ke-121,negatif
Film ini sangat bagus dan menarik ke-122,negatif
Film ini sangat bagus dan menarik ke-123,negatif
Film ini sangat bagus dan menarik ke-124,negatif
Film ini sangat bagus dan menarik ke-125,negatif
Film ini sangat bagus dan menarik ke-126,negatif
Film ini sangat bagus dan menarik ke-127,negatif
Film ini sangat bagus dan menarik ke-128,negatif
Film ini sangat bagus dan menarik ke-129,negatif
Film ini sangat bagus dan menarik ke-130,negatif
Film ini sangat bagus dan menarik ke-131,negatif
Film ini sangat bagus dan menarik ke-132,negatif
Film ini sangat bagus dan menarik ke-133,negatif
Film ini sangat bagus dan menarik ke-134,negatif
Film ini sangat bagus dan menarik ke-135,negatif
Film ini sangat bagus dan menarik ke-136,negatif
Film ini sangat bagus dan menarik ke-137,negatif
Film ini sangat bagus dan menarik ke-138,negatif
Film ini sangat bagus dan menarik ke-139,negatif
Film ini sangat bagus dan menarik ke-140,negatif
Film ini sangat bagus dan menarik ke-141,negatif
Film ini sangat bagus dan menarik ke-142,negatif
Film ini sangat bagus dan menarik ke-143,negatif
Film ini sangat bagus dan menarik ke-144,negatif
Film ini sangat bagus dan menarik ke-145,negatif
Film ini sangat bagus dan menarik ke-146,negatif
Film ini sangat bagus dan menarik ke-147,negatif
Film ini sangat bagus dan menarik ke-148,negatif
Film ini sangat bagus dan menarik ke-149,negatif
Film ini sangat bagus dan menarik ke-150,negatif
Film ini sangat bagus dan menarik ke-151,negatif
Film ini sangat bagus dan menarik ke-152,negatif
Film ini sangat bagus dan menarik ke-153,negatif
Film ini sangat bagus dan menarik ke-154,negatif
Film ini sangat bagus dan menarik ke-155,negatif
Film ini sangat bagus dan menarik ke-156,negatif
Film ini sangat bagus dan menarik ke-157,negatif
Film ini sangat bagus dan menarik ke-158,negatif
Film ini sangat bagus dan menarik ke-159,negatif
Film ini sangat bagus dan menarik ke-160,negatif
Film ini sangat bagus dan menarik ke-161,negatif
Film ini sangat bagus dan menarik ke-162,negatif
Film ini sangat bagus dan menarik ke-163,negatif
Film ini sangat bagus dan menarik ke-164,negatif
Film ini sangat bagus dan menarik ke-165,negatif
Film ini sangat bagus dan menarik ke-166,negatif
Film ini sangat bagus dan menarik ke-167,negatif
Film ini sangat bagus dan menarik ke-168,negatif
Film ini sangat bagus dan menarik ke-169,negatif
Film ini sangat bagus dan menarik ke-170,negatif
Film ini sangat bagus dan menarik ke-171,negatif
Film ini sangat bagus dan menarik ke-172,negatif
Film ini sangat bagus dan menarik ke-173,negatif
Film ini sangat bagus dan menarik ke-174,negatif
Film ini sangat bagus dan menarik ke-175,negatif
Film ini sangat bagus dan menarik ke-176,negatif
Film ini sangat bagus dan menarik ke-177,negatif
Film ini sangat bagus dan menarik ke-178,negatif
Film ini sangat bagus dan menarik ke-179,negatif
Film ini sangat bagus dan menarik ke-180,negatif
Film ini sangat bagus dan menarik ke-181,negatif
Film ini sangat bagus dan menarik ke-182,negatif
Film ini sangat bagus dan menarik ke-183,negatif
Film ini sangat bagus dan menarik ke-184,negatif
Film ini sangat bagus dan menarik ke-185,negatif
Film ini sangat bagus dan menarik ke-186,negatif
Film ini sangat bagus dan menarik ke-187,negatif
Film ini sangat bagus dan menarik ke-188,negatif
Film ini sangat bagus dan menarik ke-189,negatif
Film ini sangat bagus dan menarik ke-190,negatif
Film ini sangat bagus dan menarik ke-191,negatif
Film ini sangat bagus dan menarik ke-192,negatif
Film ini sangat bagus dan menarik ke-193,negatif
Film ini sangat bagus dan menarik ke-194,negatif
Film ini sangat bagus dan menarik ke-195,negatif
Film ini sangat bagus dan menarik ke-196,negatif
Film ini sangat bagus dan menarik ke-197,negatif
Film ini sangat bagus dan menarik ke-198,negatif
Film ini sangat bagus dan menarik ke-199,negatif
Film ini sangat bagus dan menarik ke-200,negatif
Film ini sangat bagus dan menarik ke-201,netral
Film ini sangat bagus dan menarik ke-202,netral
Film ini sangat bagus dan menarik ke-203,netral
Film ini sangat bagus dan menarik ke-204,netral
Film ini sangat bagus dan menarik ke-205,netral
Film ini sangat bagus dan menarik ke-206,netral
Film ini sangat bagus dan menarik ke-207,netral
Film ini sangat bagus dan menarik ke-208,netral
Film ini sangat bagus dan menarik ke-209,netral
Film ini sangat bagus dan menarik ke-210,netral
Film ini sangat bagus dan menarik ke-211,netral
Film ini sangat bagus dan menarik ke-212,netral
Film ini sangat bagus dan menarik ke-213,netral
Film ini sangat bagus dan menarik ke-214,netral
Film ini sangat bagus dan menarik ke-215,netral
Film ini sangat bagus dan menarik ke-216,netral
Film ini sangat bagus dan menarik ke-217,netral
Film ini sangat bagus dan menarik ke-218,netral
Film ini sangat bagus dan menarik ke-219,netral
Film ini sangat bagus dan menarik ke-220,netral
Film ini sangat bagus dan menarik ke-221,netral
Film ini sangat bagus dan menarik ke-222,netral
Film ini sangat bagus dan menarik ke-223,netral
Film ini sangat bagus dan menarik ke-224,netral
Film ini sangat bagus dan menarik ke-225,netral
Film ini sangat bagus dan menarik ke-226,netral
Film ini sangat bagus dan menarik ke-227,netral
Film ini sangat bagus dan menarik ke-228,netral
Film ini sangat bagus dan menarik ke-229,netral
Film ini sangat bagus dan menarik ke-230,netral
Film ini sangat bagus dan menarik ke-231,netral
Film ini sangat bagus dan menarik ke-232,netral
Film ini sangat bagus dan menarik ke-233,netral
Film ini sangat bagus dan menarik ke-234,netral
Film ini sangat bagus dan menarik ke-235,netral
Film ini sangat bagus dan menarik ke-236,netral
Film ini sangat bagus dan menarik ke-237,netral
Film ini sangat bagus dan menarik ke-238,netral
Film ini sangat bagus dan menarik ke-239,netral
Film ini sangat bagus dan menarik ke-240,netral
Film ini sangat bagus dan menarik ke-241,netral
Film ini sangat bagus dan menarik ke-242,netral
Film ini sangat bagus dan menarik ke-243,netral
Film ini sangat bagus dan menarik ke-244,netral
Film ini sangat bagus dan menarik ke-245,netral
Film ini sangat bagus dan menarik ke-246,netral
Film ini sangat bagus dan menarik ke-247,netral
Film ini sangat bagus dan menarik ke-248,netral
Film ini sangat bagus dan menarik ke-249,netral
Film ini sangat bagus dan menarik ke-250,netral
Film ini sangat bagus dan menarik ke-251,positif
Film ini sangat bagus dan menarik ke-252,positif
Film ini sangat bagus dan menarik ke-253,positif
Film ini sangat bagus dan menarik ke-254,positif
Film ini sangat bagus dan menarik ke-255,positif
Film ini sangat bagus dan menarik ke-256,positif
Film ini sangat bagus dan menarik ke-257,positif
Film ini sangat bagus dan menarik ke-258,positif
Film ini sangat bagus dan menarik ke-259,positif
Film ini sangat bagus dan menarik ke-260,positif
Film ini sangat bagus dan menarik ke-261,positif
Film ini sangat bagus dan menarik ke-262,positif
Film ini sangat bagus dan menarik ke-263,positif
Film ini sangat bagus dan menarik ke-264,positif
Film ini sangat bagus dan menarik ke-265,positif
Film ini sangat bagus dan menarik ke-266,positif
Film ini sangat bagus dan menarik ke-267,positif
Film ini sangat bagus dan menarik ke-268,positif
Film ini sangat bagus dan menarik ke-269,positif
Film ini sangat bagus dan menarik ke-270,positif
Film ini sangat bagus dan menarik ke-271,positif
Film ini sangat bagus dan menarik ke-272,positif
Film ini sangat bagus dan menarik ke-273,positif
Film ini sangat bagus dan menarik ke-274,positif
Film ini sangat bagus dan menarik ke-275,positif
Film ini sangat bagus dan menarik ke-276,positif
Film ini sangat bagus dan menarik ke-277,positif
Film ini sangat bagus dan menarik ke-278,positif
Film ini sangat bagus dan menarik ke-279,positif
Film ini sangat bagus dan menarik ke-280,positif
Film ini sangat bagus dan menarik ke-281,positif
Film ini sangat bagus dan menarik ke-282,positif
Film ini sangat bagus dan menarik ke-283,positif
Film ini sangat bagus dan menarik ke-284,positif
Film ini sangat bagus dan menarik ke-285,positif
Film ini sangat bagus dan menarik ke-286,positif
Film ini sangat bagus dan menarik ke-287,positif
Film ini sangat bagus dan menarik ke-288,positif
Film ini sangat bagus dan menarik ke-289,positif
Film ini sangat bagus dan menarik ke-290,positif
Film ini sangat bagus dan menarik ke-291,positif
Film ini sangat bagus dan menarik ke-292,positif
Film ini sangat bagus dan menarik ke-293,positif
Film ini sangat bagus dan menarik ke-294,positif
Film ini sangat bagus dan menarik ke-295,positif
Film ini sangat bagus dan menarik ke-296,positif
Film ini sangat bagus dan menarik ke-297,positif
Film ini sangat bagus dan menarik ke-298,positif
Film ini sangat bagus dan menarik ke-299,positif
Film ini sangat bagus dan menarik ke-300,positif
Film ini sangat bagus dan menarik ke-301,positif
Film ini sangat bagus dan menarik ke-302,positif
Film ini sangat bagus dan menarik ke-303,positif
Film ini sangat bagus dan menarik ke-304,positif
Film ini sangat bagus dan menarik ke-305,positif
Film ini sangat bagus dan menarik ke-306,positif
Film ini sangat bagus dan menarik ke-307,positif
Film ini sangat bagus dan menarik ke-308,positif
Film ini sangat bagus dan menarik ke-309,positif
Film ini sangat bagus dan menarik ke-310,positif
Film ini sangat bagus dan menarik ke-311,positif
Film ini sangat bagus dan menarik ke-312,positif
Film ini sangat bagus dan menarik ke-313,positif
Film ini sangat bagus dan menarik ke-314,positif
Film ini sangat bagus dan menarik ke-315,positif
Film ini sangat bagus dan menarik ke-316,positif
Film ini sangat bagus dan menarik ke-317,positif
Film ini sangat bagus dan menarik ke-318,positif
Film ini sangat bagus dan menarik ke-319,positif
Film ini sangat bagus dan menarik ke-320,positif
Film ini sangat bagus dan menarik ke-321,positif
Film ini sangat bagus dan menarik ke-322,positif
Film ini sangat bagus dan menarik ke-323,positif
Film ini sangat bagus dan menarik ke-324,positif
Film ini sangat bagus dan menarik ke-325,positif
Film ini sangat bagus dan menarik ke-326,positif
Film ini sangat bagus dan menarik ke-327,positif
Film ini sangat bagus dan menarik ke-328,positif
Film ini sangat bagus dan menarik ke-329,positif
Film ini sangat bagus dan menarik ke-330,positif
Film ini sangat bagus dan menarik ke-331,positif
Film ini sangat bagus dan menarik ke-332,positif
Film ini sangat bagus dan menarik ke-333,positif
Film ini sangat bagus dan menarik ke-334,positif
Film ini sangat bagus dan menarik ke-335,positif
Film ini sangat bagus dan menarik ke-336,positif
Film ini sangat bagus dan menarik ke-337,positif
Film ini sangat bagus dan menarik ke-338,positif
Film ini sangat bagus dan menarik ke-339,positif
Film ini sangat bagus dan menarik ke-340,positif
Film ini sangat bagus dan menarik ke-341,positif
Film ini sangat bagus dan menarik ke-342,positif
Film ini sangat bagus dan menarik ke-343,positif
Film ini sangat bagus dan menarik ke-344,positif
Film ini sangat bagus dan menarik ke-345,positif
Film ini sangat bagus dan menarik ke-346,positif
Film ini sangat bagus dan menarik ke-347,positif
Film ini sangat bagus dan menarik ke-348,positif
Film ini sangat bagus dan menarik ke-349,positif
Film ini sangat bagus dan menarik ke-350,positif
Film ini sangat buruk dan mengecewakan ke-1,negatif
Film ini sangat buruk dan mengecewakan ke-2,negatif
Film ini sangat buruk dan mengecewakan ke-3,negatif
Film ini sangat buruk dan mengecewakan ke-4,negatif
Film ini sangat buruk dan mengecewakan ke-5,negatif
Film ini sangat buruk dan mengecewakan ke-6,negatif
Film ini sangat buruk dan mengecewakan ke-7,negatif
Film ini sangat buruk dan mengecewakan ke-8,negatif
Film ini sangat buruk dan mengecewakan ke-9,negatif
Film ini sangat buruk dan mengecewakan ke-10,negatif
Film ini sangat buruk dan mengecewakan ke-11,negatif
Film ini sangat buruk dan mengecewakan ke-12,negatif
Film ini sangat buruk dan mengecewakan ke-13,negatif
Film ini sangat buruk dan mengecewakan ke-14,negatif
Film ini sangat buruk dan mengecewakan ke-15,negatif
Film ini sangat buruk dan mengecewakan ke-16,negatif
Film ini sangat buruk dan mengecewakan ke-17,negatif
Film ini sangat buruk dan mengecewakan ke-18,negatif
Film ini sangat buruk dan mengecewakan ke-19,negatif
Film ini sangat buruk dan mengecewakan ke-20,negatif
Film ini sangat buruk dan mengecewakan ke-21,negatif
Film ini sangat buruk dan mengecewakan ke-22,negatif
Film ini sangat buruk dan mengecewakan ke-23,negatif
Film ini sangat buruk dan mengecewakan ke-24,negatif
Film ini sangat buruk dan mengecewakan ke-25,negatif
Film ini sangat buruk dan mengecewakan ke-26,negatif
Film ini sangat buruk dan mengecewakan ke-27,negatif
Film ini sangat buruk dan mengecewakan ke-28,negatif
Film ini sangat buruk dan mengecewakan ke-29,negatif
Film ini sangat buruk dan mengecewakan ke-30,negatif
Film ini sangat buruk dan mengecewakan ke-31,negatif
Film ini sangat buruk dan mengecewakan ke-32,negatif
Film ini sangat buruk dan mengecewakan ke-33,negatif
Film ini sangat buruk dan mengecewakan ke-34,negatif
Film ini sangat buruk dan mengecewakan ke-35,negatif
Film ini sangat buruk dan mengecewakan ke-36,negatif
Film ini sangat buruk dan mengecewakan ke-37,negatif
Film ini sangat buruk dan mengecewakan ke-38,negatif
Film ini sangat buruk dan mengecewakan ke-39,negatif
Film ini sangat buruk dan mengecewakan ke-40,negatif
Film ini sangat buruk dan mengecewakan ke-41,negatif
Film ini sangat buruk dan mengecewakan ke-42,negatif
Film ini sangat buruk dan mengecewakan ke-43,negatif
Film ini sangat buruk dan mengecewakan ke-44,negatif
Film ini sangat buruk dan mengecewakan ke-45,negatif
Film ini sangat buruk dan mengecewakan ke-46,negatif
Film ini sangat buruk dan mengecewakan ke-47,negatif
Film ini sangat buruk dan mengecewakan ke-48,negatif
Film ini sangat buruk dan mengecewakan ke-49,negatif
Film ini sangat buruk dan mengecewakan ke-50,negatif
Film ini sangat buruk dan mengecewakan ke-51,negatif
Film ini sangat buruk dan mengecewakan ke-52,negatif
Film ini sangat buruk dan mengecewakan ke-53,negatif
Film ini sangat buruk dan mengecewakan ke-54,negatif
Film ini sangat buruk dan mengecewakan ke-55,negatif
Film ini sangat buruk dan mengecewakan ke-56,negatif
Film ini sangat buruk dan mengecewakan ke-57,negatif
Film ini sangat buruk dan mengecewakan ke-58,negatif
Film ini sangat buruk dan mengecewakan ke-59,negatif
Film ini sangat buruk dan mengecewakan ke-60,negatif
Film ini sangat buruk dan mengecewakan ke-61,negatif
Film ini sangat buruk dan mengecewakan ke-62,negatif
Film ini sangat buruk dan mengecewakan ke-63,negatif
Film ini sangat buruk dan mengecewakan ke-64,negatif
Film ini sangat buruk dan mengecewakan ke-65,negatif
Film ini sangat buruk dan mengecewakan ke-66,negatif
Film ini sangat buruk dan mengecewakan ke-67,negatif
Film ini sangat buruk dan mengecewakan ke-68,negatif
Film ini sangat buruk dan mengecewakan ke-69,negatif
Film ini sangat buruk dan mengecewakan ke-70,negatif
Film ini sangat buruk dan mengecewakan ke-71,negatif
Film ini sangat buruk dan mengecewakan ke-72,negatif
Film ini sangat buruk dan mengecewakan ke-73,negatif
Film ini sangat buruk dan mengecewakan ke-74,negatif
Film ini sangat buruk dan mengecewakan ke-75,negatif
Film ini sangat buruk dan mengecewakan ke-76,negatif
Film ini sangat buruk dan mengecewakan ke-77,negatif
Film ini sangat buruk dan mengecewakan ke-78,negatif
Film ini sangat buruk dan mengecewakan ke-79,negatif
Film ini sangat buruk dan mengecewakan ke-80,negatif
Film ini sangat buruk dan mengecewakan ke-81,negatif
Film ini sangat buruk dan mengecewakan ke-82,negatif
Film ini sangat buruk dan mengecewakan ke-83,negatif
Film ini sangat buruk dan mengecewakan ke-84,negatif
Film ini sangat buruk dan mengecewakan ke-85,negatif
Film ini sangat buruk dan mengecewakan ke-86,negatif
Film ini sangat buruk dan mengecewakan ke-87,negatif
Film ini sangat buruk dan mengecewakan ke-88,negatif
Film ini sangat buruk dan mengecewakan ke-89,negatif
Film ini sangat buruk dan mengecewakan ke-90,negatif
Film ini sangat buruk dan mengecewakan ke-91,negatif
Film ini sangat buruk dan mengecewakan ke-92,negatif
Film ini sangat buruk dan mengecewakan ke-93,negatif
Film ini sangat buruk dan mengecewakan ke-94,negatif
Film ini sangat buruk dan mengecewakan ke-95,negatif
Film ini sangat buruk dan mengecewakan ke-96,negatif
Film ini sangat buruk dan mengecewakan ke-97,negatif
Film ini sangat buruk dan mengecewakan ke-98,negatif
Film ini sangat buruk dan mengecewakan ke-99,negatif
Film ini sangat buruk dan mengecewakan ke-100,negatif
Film ini sangat buruk dan mengecewakan ke-101,negatif
Film ini sangat buruk dan mengecewakan ke-102,negatif
Film ini sangat buruk dan mengecewakan ke-103,negatif
Film ini sangat buruk dan mengecewakan ke-104,negatif
Film ini sangat buruk dan mengecewakan ke-105,negatif
Film ini sangat buruk dan mengecewakan ke-106,negatif
Film ini sangat buruk dan mengecewakan ke-107,negatif
Film ini sangat buruk dan mengecewakan ke-108,negatif
Film ini sangat buruk dan mengecewakan ke-109,negatif
Film ini sangat buruk dan mengecewakan ke-110,negatif
Film ini sangat buruk dan mengecewakan ke-111,negatif
Film ini sangat buruk dan mengecewakan ke-112,negatif
Film ini sangat buruk dan mengecewakan ke-113,negatif
Film ini sangat buruk dan mengecewakan ke-114,negatif
Film ini sangat buruk dan mengecewakan ke-115,negatif
Film ini sangat buruk dan mengecewakan ke-116,negatif
Film ini sangat buruk dan mengecewakan ke-117,negatif
Film ini sangat buruk dan mengecewakan ke-118,negatif
Film ini sangat buruk dan mengecewakan ke-119,negatif
Film ini sangat buruk dan mengecewakan ke-120,negatif
Film ini sangat buruk dan mengecewakan ke-121,negatif
Film ini sangat buruk dan mengecewakan ke-122,negatif
Film ini sangat buruk dan mengecewakan ke-123,negatif
Film ini sangat buruk dan mengecewakan ke-124,negatif
Film ini sangat buruk dan mengecewakan ke-125,negatif
Film ini sangat buruk dan mengecewakan ke-126,negatif
Film ini sangat buruk dan mengecewakan ke-127,negatif
Film ini sangat buruk dan mengecewakan ke-128,negatif
